"","ID","Observation","card","carp","walk","bike","ptcar","ptwalk","chosen"
"1","Y16H2090106P01T01",1,11.3211347964191,0.0271943490023699,3.15130385793336e-43,3.28569090409174e-07,0,0,11.3211347964191
"2","Y16H2090124P02T01",1,7.51044006164605,0.29259172567487,2.21208496264622e-08,0.161922611834567,1.66277998156624,0.187077770838589,7.51044006164605
"3","Y16H2090301P02T01",1,6.69127628241137,0.192182086154004,1.09228400457089e-09,0.00725271408293658,0.899971346961642,2.12896484730341,0.899971346961642
"4","Y16H2090303P01T01",1,7.2527490284638,0.387622560682124,4.05641627785262e-05,0.0201180309236729,0.924399614834192,0.718283330065906,7.2527490284638
"5","Y16H2090305P01T01",1,4.33775669800976,0.338288435150592,0.00533356091686088,1.40761714312608,0.501903968334124,2.36838463902934,4.33775669800976
"6","Y16H2090305P02T01",1,8.14478247657775,0.0966111614744252,5.58146319543653e-20,0.0147453332685067,1.77225547117375,0.583384018333975,8.14478247657775
"7","Y16H2090317P02T01",1,7.20162995473643,0.370495815639454,8.90033086041259e-07,0.0182806688087275,0.657210071771417,1.3069250410345,0.370495815639454
"8","Y16H2090319P01T01",1,6.70465920762656,0.419933960122884,0.00796657354841441,0.03936630836625,0.397912944976017,1.30337318762464,6.70465920762656
"9","Y16H2090319P02T01",1,2.6718540983494,1.27183454012869,1.0217139898398,0.119696588985249,0.164977485189992,2.84893443210149,0.119696588985249
"10","Y16H2090323P01T01",1,5.85894236862274,0.348594904159614,0.208064382878546,0.0859106351004328,0.19618757003057,1.41010116169665,5.85894236862274
"11","Y16H2090327P02T01",1,0.914325355356456,0.146757077492819,4.49775202012942,0.0421111836827228,0.0477197741480769,0.680685087439961,4.49775202012942
"12","Y16H2090503P01T01",1,7.662581408875,0.256555835893187,2.28478206107251e-20,6.25479331264665e-05,1.42276955891541,1.26311163623238,7.662581408875
"13","Y16H2090522P03T01",1,0.00350759278101213,5.72739761456697,1.24356250641398,0.0932668778757537,0.0553020341617316,0.650610427472996,5.72739761456697
"14","Y16H2090522P04T01",1,0.00350759278101213,5.72739761456697,1.24356250641398,0.0932668778757537,0.0553020341617316,0.650610427472996,5.72739761456697
"15","Y16H2090522P05T01",1,0.0041579224314881,5.41555584422023,1.26005289846818,0.266273190529139,0.0445304560760452,0.783076741547353,5.41555584422023
"16","Y16H2090523P01T01",1,9.44783631792322,0.210340097066062,1.69327375605775e-22,3.84465675208814e-05,0.846567874588864,0.147244200570035,9.44783631792322
"17","Y16H2090529P01T01",1,9.67748963057795,0.108776503310185,1.4825350495312e-30,5.66436850272633e-06,0.990494702444801,0.21861203639356,9.67748963057795
"18","Y16H2100102P03T01",1,2.78717147172701,1.52049604673473,1.70027515365212e-20,0.000472347475450766,5.0202432620457,1.32040467978371,1.32040467978371
"19","Y16H2100102P04T01",1,0.0206955673904621,3.74080560723514,1.94288045872455e-20,0.0016314094321677,5.9682810500881,0.917374173620727,0.917374173620727
"20","Y16H2100115P01T01",1,7.31021513448503,0.396125110044851,5.72912997197574e-05,0.0494629074104959,0.788494375533852,0.771624300150145,7.31021513448503
"21","Y16H2100115P03T01",1,0.00872386104381647,8.01513644958914,0.00012459972150618,0.163466279851382,0.331901150930877,0.796626777787367,8.01513644958914
