"","ID","Observation","card","carp","walk","bike","ptcar","ptwalk","chosen"
"1","Y16H2090106P01T01",1,0.997926175601585,0.00207376778844399,1.05669029378016e-45,5.66099715807517e-08,0,0,0.997926175601585
"2","Y16H2090124P02T01",1,0.760252587113029,0.0276606431455335,8.69801096138389e-10,0.00589182669631142,0.188037152673045,0.0181577895022801,0.760252587113029
"3","Y16H2090301P02T01",1,0.68245141589788,0.0184693238621836,5.40938003155676e-11,0.000715922604528144,0.0874641702547638,0.21089916732655,0.0874641702547638
"4","Y16H2090303P01T01",1,0.785801313683097,0.040033203580284,2.37834207025246e-06,0.00207180813012657,0.0937983935510317,0.0782929027133899,0.785801313683097
"5","Y16H2090305P01T01",1,0.507144565780432,0.0383806888134104,0.000328459632763135,0.144967378676416,0.0506446026336095,0.258534304463369,0.507144565780432
"6","Y16H2090305P02T01",1,0.755393036411537,0.00824417115912567,7.6187743647591e-22,0.00158309801188303,0.182777960377371,0.0520017340400832,0.755393036411537
"7","Y16H2090317P02T01",1,0.748801627120629,0.039059454894977,5.21245114264979e-08,0.00205032798509496,0.0679763085585067,0.142112229316281,0.039059454894977
"8","Y16H2090319P01T01",1,0.765095665144017,0.0468574881631592,0.000478366572153769,0.00394513425132933,0.0405387776654264,0.143084568203914,0.765095665144017
"9","Y16H2090319P02T01",1,0.357885244980378,0.167651755508492,0.102685321349825,0.0154057060050112,0.0177344474784911,0.338637524677803,0.0154057060050112
"10","Y16H2090323P01T01",1,0.746261136337428,0.0428996594574034,0.0193810510278894,0.00989139827395789,0.019735456909284,0.161831297994037,0.746261136337428
"11","Y16H2090327P02T01",1,0.165177260976922,0.0248297900950021,0.690801258612887,0.00771502357682693,0.00593701388379944,0.105539652854563,0.690801258612887
"12","Y16H2090503P01T01",1,0.71901177061486,0.0227705088075457,6.61745934095677e-22,8.16825764077087e-06,0.139388380071487,0.118821172248467,0.71901177061486
"13","Y16H2090522P03T01",1,0.000570476015844479,0.764079761341177,0.142714002599308,0.00513541005566097,0.00619237435292441,0.0813079756350851,0.764079761341177
"14","Y16H2090522P04T01",1,0.000570476015844479,0.764079761341177,0.142714002599308,0.00513541005566097,0.00619237435292441,0.0813079756350851,0.764079761341177
"15","Y16H2090522P05T01",1,0.000699788205163612,0.738640300222869,0.143739865844238,0.015180426854251,0.00496903071263301,0.0967705881608447,0.738640300222869
"16","Y16H2090523P01T01",1,0.886160280948769,0.0186075762753335,1.12122936962816e-23,8.0573775241997e-06,0.0823497561783751,0.0128743292199983,0.886160280948769
"17","Y16H2090529P01T01",1,0.883295696638182,0.00899971634762255,1.70837990822828e-32,1.10785177400532e-06,0.0897027396663692,0.0180007394960525,0.883295696638182
"18","Y16H2100102P03T01",1,0.2508409380713,0.140738015671834,2.87817497759714e-22,6.32540063941425e-05,0.498955853546148,0.109401938704324,0.109401938704324
"19","Y16H2100102P04T01",1,0.00266032795983303,0.374293314769625,3.31857865679089e-22,0.000240090784814436,0.552175525751511,0.0706307407342167,0.0706307407342167
