tripID,Observation,card,carp,walk,bike,ptwalk,chosen
1,1,1.23E-12,0.000126297,0.363037817,1.73E-12,1.23E-06,0.363037817
2,1,7.67E-14,4.44E-05,0.342417065,1.87E-12,2.90E-07,0.342417065
3,1,4.17E-11,1.40E-05,0.475162386,8.16E-12,4.10E-11,1.40E-05
4,1,4.17E-11,1.40E-05,0.475162386,8.16E-12,4.10E-11,1.40E-05
5,1,3.03E-12,1.51E-05,0.488998427,2.48E-14,9.46E-11,1.51E-05
6,1,4.89E-18,7.13E-06,0.067916358,0.000367056,4.57E-06,0.067916358
7,1,1.19E-09,0.006053483,0.022505908,5.31E-06,3.53E-08,0.022505908
8,1,1.35E-14,1.87E-05,0.376188394,3.73E-15,1.55E-07,0.376188394
9,1,6.58E-15,5.46E-05,0.238619316,1.45E-11,5.61E-07,0.238619316
10,1,3.79E-05,1.94E-08,0.222324887,4.44E-11,6.23E-07,0.222324887
11,1,0.011158795,3.32E-08,0.013816624,8.55E-09,5.71E-07,0.013816624
12,1,0.011158795,3.32E-08,0.013816624,8.55E-09,5.71E-07,0.013816624
13,1,2.08E-15,6.93E-06,0.413552623,2.55E-17,7.64E-08,6.93E-06
14,1,2.48E-10,2.68E-08,0.012990277,0.021183332,8.10E-09,0.012990277
15,1,0.00029615,2.42E-07,0.092883085,1.50E-11,1.79E-06,0.092883085
16,1,2.15E-05,6.96E-06,0.125913988,1.35E-09,2.71E-07,0.125913988
17,1,7.28E-16,6.26E-05,0.269783311,3.68E-17,1.44E-07,0.269783311
18,1,3.85E-14,0.000112934,0.202034616,6.57E-16,7.86E-07,0.202034616
19,1,1.02E-07,0.011697784,0.019526653,1.18E-17,1.91E-08,0.019526653
20,1,9.85E-05,3.57E-08,0.141719664,5.34E-08,2.24E-08,0.141719664
21,1,0.002973874,1.30E-09,0.072981636,2.51E-15,2.96E-09,0.072981636
22,1,2.02E-11,8.50E-05,0.117442586,5.76E-12,1.61E-05,0.117442586
23,1,8.73E-11,0.002578964,0.056516055,3.12E-09,5.73E-08,0.056516055
24,1,1.09E-09,0.001855658,0.042047422,1.09E-06,1.82E-08,0.042047422
25,1,8.73E-11,0.002578964,0.056516055,3.12E-09,5.73E-08,0.056516055
26,1,9.67E-06,2.79E-06,0.170814767,3.01E-11,1.15E-07,0.170814767
27,1,4.52E-14,0.000260434,0.126063638,3.37E-17,2.53E-06,0.126063638
28,1,8.91E-10,5.01E-06,0.17753331,5.79E-08,2.13E-06,0.17753331
29,1,1.41E-11,0.000111379,0.24424535,2.98E-17,2.70E-09,0.24424535
30,1,1.35E-20,2.41E-07,0.503669855,1.19E-12,7.45E-08,0.503669855
31,1,6.93E-22,2.24E-07,0.49460495,2.24E-15,1.74E-07,0.49460495
32,1,4.59E-07,1.58E-06,0.088591627,1.90E-06,2.70E-06,0.088591627
33,1,3.44E-20,6.20E-07,0.438601644,4.08E-13,2.10E-07,0.438601644
34,1,8.19E-14,3.64E-05,0.22019065,3.54E-11,1.43E-07,0.22019065
35,1,2.86E-11,7.03E-05,0.278112055,6.72E-16,2.61E-10,0.278112055
36,1,2.15E-16,7.07E-05,0.182066687,1.73E-18,1.60E-06,0.182066687
37,1,4.37E-15,7.76E-05,0.191733331,9.92E-16,7.04E-07,0.191733331
38,1,2.48E-08,3.41E-07,0.12881986,1.12E-05,7.40E-07,0.12881986
39,1,3.94E-19,1.56E-05,0.092612513,4.23E-08,5.82E-05,0.092612513
40,1,3.19E-15,0.001087877,0.039732726,1.90E-13,2.47E-05,0.039732726
41,1,0.357730354,1.25E-10,2.04E-05,5.01E-14,3.00E-12,2.04E-05
42,1,0.357730354,1.25E-10,2.04E-05,5.01E-14,3.00E-12,2.04E-05
43,1,1.24E-06,1.45E-05,0.035981837,7.28E-09,0.000135067,0.035981837
44,1,6.34E-22,2.76E-07,0.424147165,4.98E-17,5.75E-07,0.424147165
45,1,0.000865961,1.31E-07,0.054604411,1.43E-11,1.48E-07,0.054604411
46,1,1.93E-07,2.56E-06,0.072737736,1.90E-08,6.86E-06,0.072737736
47,1,1.93E-07,2.56E-06,0.072737736,1.90E-08,6.86E-06,0.072737736
48,1,1.93E-07,2.56E-06,0.072737736,1.90E-08,6.86E-06,0.072737736
49,1,1.93E-07,2.56E-06,0.072737736,1.90E-08,6.86E-06,0.072737736
50,1,0.100418888,6.47E-12,0.000148061,4.12E-07,4.83E-15,0.100418888
51,1,3.74E-16,0.000144369,0.111550259,2.76E-11,1.19E-06,0.111550259
52,1,4.56E-16,7.52E-06,0.306149379,4.14E-13,1.62E-07,0.306149379
53,1,6.55E-17,1.27E-05,0.317896136,4.98E-19,6.13E-08,0.317896136
54,1,1.35E-15,1.35E-05,0.326097794,3.06E-16,2.59E-08,0.326097794
55,1,1.26E-13,0.000348757,0.065258467,9.78E-07,1.17E-07,0.065258467
56,1,6.83E-11,6.79E-09,0.125438603,6.88E-06,1.80E-05,0.125438603
57,1,6.83E-11,6.79E-09,0.125438603,6.88E-06,1.80E-05,0.125438603
58,1,0.000694263,2.10E-10,0.122183251,2.19E-17,3.65E-10,0.122183251
59,1,4.56E-10,0.0101503,0.007407677,6.91E-07,1.95E-08,0.007407677
60,1,1.28E-14,0.000460852,0.063848481,6.86E-12,3.66E-06,0.000460852
61,1,1.30E-16,6.60E-05,0.153958254,4.99E-10,6.12E-08,0.153958254
62,1,0.129306456,2.84E-09,0.000237592,3.01E-11,3.44E-09,0.000237592
63,1,4.36E-06,2.73E-09,0.272374639,1.23E-13,3.19E-08,4.36E-06
64,1,1.03E-10,0.005860704,0.011263042,4.90E-07,5.09E-08,0.011263042
65,1,0.002517378,1.93E-08,0.038121996,7.05E-17,2.78E-08,0.038121996
66,1,9.11E-14,1.47E-05,0.338096697,2.18E-19,1.59E-09,1.47E-05
67,1,1.06E-10,0.001415832,0.064881138,3.27E-16,2.60E-08,0.064881138
68,1,5.25E-17,9.61E-06,0.263151677,4.08E-11,1.27E-07,9.61E-06
69,1,7.21E-08,1.85E-05,0.062298887,3.31E-13,4.45E-05,0.062298887
70,1,7.21E-08,1.85E-05,0.062298887,3.31E-13,4.45E-05,0.062298887
71,1,9.93E-16,0.000494156,0.061222537,5.66E-14,4.25E-06,0.061222537
72,1,9.93E-16,0.000494156,0.061222537,5.66E-14,4.25E-06,0.061222537
73,1,3.45E-15,7.27E-05,0.175044725,9.61E-15,1.23E-07,0.175044725
74,1,1.41E-05,1.49E-06,0.125686986,1.84E-15,8.22E-08,1.49E-06
75,1,5.00E-12,0.002175581,0.021342916,1.00E-07,2.31E-07,0.021342916
76,1,5.00E-12,0.002175581,0.021342916,1.00E-07,2.31E-07,0.021342916
77,1,3.19E-20,3.27E-06,0.212098039,5.03E-10,1.16E-06,0.212098039
78,1,1.18E-07,4.37E-07,0.140307769,1.86E-08,8.10E-07,0.140307769
79,1,8.68E-18,5.07E-06,0.332076286,1.87E-19,2.09E-08,0.332076286
80,1,8.68E-18,5.07E-06,0.332076286,1.87E-19,2.09E-08,0.332076286
81,1,2.52E-20,1.73E-07,0.028993942,1.11E-13,0.003522966,0.028993942
82,1,2.36E-05,2.45E-07,0.091355752,2.41E-17,1.48E-06,0.091355752
83,1,3.00E-24,6.00E-09,0.628182581,6.06E-17,3.42E-09,0.628182581
84,1,1.58E-20,1.15E-07,0.022303737,4.13E-08,0.002487668,0.022303737
85,1,4.79E-14,6.13E-05,0.156610501,5.56E-14,1.90E-07,0.156610501
86,1,5.29E-15,7.02E-05,0.147446822,6.94E-14,1.34E-07,0.147446822
87,1,1.02E-20,1.39E-06,0.260120363,1.97E-10,4.69E-07,0.260120363
88,1,8.51E-20,1.28E-05,0.149219348,1.44E-12,4.07E-06,0.149219348
89,1,3.32E-21,1.12E-05,0.138754192,1.62E-15,9.59E-06,0.138754192
90,1,7.91E-21,2.57E-05,0.055658397,2.50E-13,0.000125222,0.055658397
91,1,3.83E-12,0.002376785,0.030627876,9.09E-14,2.12E-07,0.030627876
92,1,3.83E-12,0.002376785,0.030627876,9.09E-14,2.12E-07,0.030627876
93,1,2.85E-10,1.14E-05,0.068533619,8.85E-11,3.53E-05,0.068533619
94,1,9.57E-22,2.02E-06,0.189593938,2.54E-10,2.95E-06,0.189593938
95,1,3.81E-09,0.040266897,0.001248322,9.49E-13,4.11E-08,0.001248322
96,1,3.24E-06,4.44E-07,0.016016962,3.12E-06,4.66E-05,0.016016962
97,1,4.19E-21,1.75E-05,0.103174742,1.01E-12,1.52E-05,0.103174742
98,1,1.34E-11,7.57E-06,0.194105599,1.32E-12,3.40E-07,0.194105599
99,1,3.38E-21,1.27E-05,0.102863312,2.20E-11,1.24E-05,0.102863312
100,1,1.36E-17,1.52E-05,0.252942086,1.91E-17,2.10E-08,0.252942086
101,1,3.31E-16,1.60E-05,0.256126567,1.71E-14,8.32E-09,0.256126567
102,1,1.36E-17,1.52E-05,0.252942086,1.91E-17,2.10E-08,0.252942086
103,1,2.44E-22,4.97E-08,0.041721254,1.71E-11,0.001753715,0.041721254
104,1,1.86E-07,1.19E-08,0.08014394,7.81E-06,6.08E-07,0.08014394
105,1,1.81E-10,0.001799722,0.038972424,9.16E-12,5.39E-09,0.001799722
106,1,6.68E-13,0.001094577,0.046200127,2.15E-17,2.37E-07,0.046200127
